Fit Curves X	Sum 'Fit Sum'
540.0	24739.238402481795
541.0	29244.97657193029
542.0	34751.82458713753
543.0	41456.610223098825
544.0	49574.15860388573
545.0	59331.64884784195
546.0	70960.42608661875
547.0	84685.17081294445
548.0	100710.54829081218
549.0	119205.7316608611
550.0	140287.49473950695
551.0	164002.87631156124
552.0	190312.69109197936
553.0	219077.36299094127
554.0	250046.64346911552
555.0	282854.7171845662
556.0	317021.9665845131
557.0	351964.2622598399
558.0	387010.08440730954
559.0	421425.10371681314
560.0	454443.1200568967
561.0	485301.5531767165
562.0	513279.08726149553
563.0	537732.6726801125
564.0	558130.9498345876
565.0	574081.3208280611
566.0	585348.3586118334
567.0	591861.9752474292
568.0	593714.6986289538
569.0	591148.4285519795
570.0	584532.0394879137
571.0	574332.0488886557
572.0	561079.1722759786
573.0	545333.8668976879
574.0	527653.8936725393
575.0	508566.51883430924
576.0	488547.29319391225
577.0	468006.4849048749
578.0	447283.3186307032
579.0	426647.31094836834
580.0	406305.2950620385
581.0	386412.27437211026
582.0	367084.07187555823
583.0	348409.8461970751
584.0	330462.88215685677
585.0	313308.5621183892
586.0	297008.9963898423
587.0	281624.34841319214
588.0	267211.35784976353
589.0	253819.88921121153
590.0	241488.49063834708
591.0	230239.94012117406
592.0	220077.61182640019
593.0	210983.25616925512
594.0	202916.50362685835
595.0	195816.12192895036
596.0	189602.81814051166
597.0	184183.20694053374
598.0	179454.47504910242
599.0	175309.25668612827
600.0	171640.28318744415
601.0	168344.46222227835
602.0	165326.1571890985
603.0	162499.55563786984
604.0	159790.12140995113
605.0	157135.20842737335
606.0	154483.97004689483
607.0	151796.72673643616
608.0	149043.9601390123
609.0	146205.0890033292
610.0	143267.15830460377
611.0	140223.54309808434
612.0	137072.73811531544
613.0	133817.27630969844
614.0	130462.79654844505
615.0	127017.26326976069
616.0	123490.32908486319
617.0	119892.82431000307
618.0	116236.35426454846
619.0	112532.98479595712
620.0	108794.99790568266
621.0	105034.7017403308
622.0	101264.28197359144
623.0	97495.6843281294
624.0	93740.5204314357
625.0	90009.99125192092
626.0	86314.82399555435
627.0	82665.21958729181
628.0	79070.80877118646
629.0	75540.61550356343
630.0	72083.02674808606
631.0	68705.76806504089
632.0	65415.88456449527
633.0	62219.72689855117
634.0	59122.942027014775
635.0	56130.46852123116
636.0	53246.53618467432
637.0	50474.66977398799
638.0	47817.69660541344
639.0	45277.7578317513
640.0	42856.32317566245
641.0	40554.208906820815
642.0	38371.598853253934
643.0	36308.06824087623
644.0	34362.610159300246
645.0	32533.664455984486
646.0	30819.14886411691
647.0	29216.4921718544
648.0	27722.669241225292
649.0	26334.237683835483
650.0	25047.375997299416
651.0	23857.922960966687
652.0	22761.418082091936
653.0	21753.142874290283
654.0	20828.16273925124
655.0	19981.36921068912
656.0	19207.522306929364
657.0	18501.292725996285
658.0	17857.3036052683
659.0	17270.17155743111
660.0	16734.546686325128
661.0	16245.151281069715
662.0	15796.816885225682
663.0	15384.519440323602
664.0	15003.412210333554
665.0	14648.856205951175
666.0	14316.447845151182
667.0	14002.043609381795
668.0	13701.781482943295
669.0	13412.098996244522
670.0	13129.74773132799
671.0	12851.804189706183
672.0	12575.67696742385
673.0	12299.110229495465
674.0	12020.183524506976
675.0	11737.308029188313
676.0	11449.21936109052
677.0	11154.967144063416
678.0	10853.901554976042
679.0	10545.657120060965
680.0	10230.134064489344
681.0	9907.47754850787
682.0	9578.055147039979
683.0	9242.432946579413
684.0	8901.350643162445
685.0	8555.696028053067
686.0	8206.479243552028
687.0	7854.807180261611
688.0	7501.85836958803
689.0	7148.858701780153
690.0	6797.058271060092
691.0	6447.709616183157
692.0	6102.047587944278
693.0	5761.271035656502
694.0	5426.526463428527
695.0	5098.893765128531
696.0	4779.374105184249
697.0	4468.879971728775
698.0	4168.227389881073
699.0	3878.1302468831877
700.0	3599.1966480298042
701.0	3331.9271933308582
702.0	3076.7150400306928
703.0	2833.8475957268925
704.0	2603.509671021837
705.0	2385.7879094117047
706.0	2180.6763053702957
707.0	1988.0826191144815
708.0	1807.8354980521513
709.0	1639.6921200449528
710.0	1483.346181941936
711.0	1338.4360678890387
712.0	1204.5530452004857
713.0	1081.2493505884534
714.0	968.0460457882916
715.0	864.4405386071074
716.0	769.91368271127
717.0	683.9363866394386
718.0	605.975679213461
719.0	535.5001944022846
720.0	471.98505351011636
721.0	414.9161361010255
722.0	363.7937431843572
723.0	318.13566676775287
724.0	277.47968888572365
725.0	241.38554062494137
726.0	209.43635752582782
727.0	181.23967211070175
728.0	156.42798726665603
729.0	134.65897591336318
730.0	115.61535294477935
731.0	99.00446499218877
732.0	84.55764226209986
733.0	72.02935470449056
734.0	61.19621220944289
735.0	51.85584555097031
736.0	43.82570152379547
737.0	36.94178226828249
738.0	31.057355253895768
739.0	26.041656881836175
740.0	21.778609248141443
741.0	18.165566340855175
742.0	15.112102876780392
743.0	12.538856150225653
744.0	10.37642869195325
745.0	8.564357234957354
746.0	7.050151459549536
747.0	5.788404240797441
748.0	4.739973637757497
749.0	3.8712356323903117
750.0	3.1534056291089736
751.0	2.561925943584026
752.0	2.075915920136661
753.0	1.6776808984929679
754.0	1.3522759805388291
755.0	1.0871204042835176
756.0	0.8716582948280263
757.0	0.6970616114487411
758.0	0.5559712282836157
759.0	0.4422722576574424
760.0	0.35089993576123624
761.0	0.2776726280107656
762.0	0.21914876555064647
763.0	0.1725047863489541
764.0	0.13543141703351966
765.0	0.10604588938967684
766.0	0.08281793389636831
767.0	0.06450762858362646
768.0	0.05011340258822804
769.0	0.03882869863249867
770.0	0.030005986507112285
771.0	0.02312699031237615
772.0	0.017778145953495635
773.0	0.01363044277934212
774.0	0.010422925133020166
775.0	0.007949236947366574
776.0	0.00604668647630878
777.0	0.004587389964035962
778.0	0.0034711236901064407
779.0	0.00261957454117517
780.0	0.001971731155368324
781.0	0.001480201807763099
782.0	0.0011082825257617993
783.0	8.276303320355935E-4
784.0	6.164228178189715E-4
