Wavelength	R1
555.0	0.04156
556.0	0.04128
557.0	0.04086
558.0	0.04046
559.0	0.04022
560.0	0.039818
561.0	0.03956
562.0	0.039261
563.0	0.038874
564.0	0.038457
565.0	0.03825
566.0	0.037963
567.0	0.037708
568.0	0.037625
569.0	0.037318
570.0	0.037001
571.0	0.036676
572.0	0.036286
573.0	0.036055
574.0	0.035767
575.0	0.035479
576.0	0.035179
577.0	0.034958
578.0	0.034595
579.0	0.034319
580.0	0.034058
581.0	0.033719
582.0	0.033602
583.0	0.033291
584.0	0.033125
585.0	0.032764
586.0	0.032464
587.0	0.032184
588.0	0.031891
589.0	0.031431
590.0	0.03109
591.0	0.030712
592.0	0.030299
593.0	0.029865
594.0	0.029478
595.0	0.029026
596.0	0.028611
597.0	0.028336
598.0	0.027889
599.0	0.027587
600.0	0.027154
601.0	0.026867
602.0	0.026542
603.0	0.026303
604.0	0.025976
605.0	0.025701
606.0	0.025437
607.0	0.025167
608.0	0.024963
609.0	0.024815
610.0	0.024564
611.0	0.024443
612.0	0.024208
613.0	0.02402
614.0	0.023845
615.0	0.023617
616.0	0.023399
617.0	0.023236
618.0	0.023021
619.0	0.022734
620.0	0.022487
621.0	0.022105
622.0	0.021775
623.0	0.021337
624.0	0.020978
625.0	0.020651
626.0	0.020251
627.0	0.019948
628.0	0.019647
629.0	0.019332
630.0	0.019087
631.0	0.018763
632.0	0.018393
633.0	0.018043
634.0	0.017645
635.0	0.017168
636.0	0.016836
637.0	0.016427
638.0	0.016061
639.0	0.015715
640.0	0.015338
641.0	0.014984
642.0	0.014649
643.0	0.014309
644.0	0.013936
645.0	0.013433
646.0	0.012811
647.0	0.011938
648.0	0.011478
649.0	0.011367
650.0	0.011214
651.0	0.011077
652.0	0.011147
653.0	0.011297
654.0	0.011576
655.0	0.011878
656.0	0.012237
657.0	0.012674
658.0	0.013194
659.0	0.013715
660.0	0.014325
661.0	0.014996
662.0	0.015604
663.0	0.016347
664.0	0.017052
665.0	0.017776
666.0	0.018489
667.0	0.019008
668.0	0.019552
669.0	0.020009
670.0	0.020572
671.0	0.021133
672.0	0.021525
673.0	0.022004
674.0	0.022208
675.0	0.022345
676.0	0.022514
677.0	0.022621
678.0	0.022805
679.0	0.023138
680.0	0.023841
681.0	0.025725
682.0	0.026827
683.0	0.025805
684.0	0.025166
