Fit Curves X	Sum 'Fit Sum'
488.0	58097.44164938659
489.0	59775.506685133405
490.0	62983.00063107319
491.0	68015.80152246248
492.0	72791.60771091167
493.0	74244.3419548301
494.0	72543.9115451892
495.0	70881.32658347834
496.0	71222.68009437354
497.0	73214.32128588727
498.0	75997.78636794457
499.0	79158.31713158338
500.0	82583.2898653493
501.0	86242.0676665954
502.0	90116.49036443619
503.0	94190.44441006139
504.0	98448.9921303447
505.0	102877.35946407083
506.0	107458.77786673878
507.0	112171.3359699827
508.0	116984.29536718439
509.0	121854.52724840274
510.0	126723.83933874691
511.0	131517.94837356568
512.0	136147.69172427297
513.0	140512.7702780699
514.0	144507.91260090584
515.0	148030.9152732836
516.0	150991.63013625803
517.0	153320.71890144687
518.0	154976.94106891536
519.0	155951.9066663663
520.0	156271.5891797716
521.0	155994.39092398447
522.0	155206.0879530979
523.0	154012.45105879105
524.0	152530.65533583247
525.0	150880.69979382982
526.0	149177.95214632218
527.0	147527.64770291108
528.0	146021.7732150551
529.0	144738.33916481253
530.0	143742.6653538473
531.0	143090.0327256546
532.0	142828.91858494625
533.0	143004.0330726852
534.0	143658.4890145786
535.0	144834.6286420092
536.0	146573.2593926301
537.0	148911.28199692746
538.0	151877.90167323578
539.0	155489.78215031227
540.0	159745.62564688548
541.0	164620.7385454694
542.0	170062.17333786437
543.0	175985.02377340873
544.0	182270.3928425778
545.0	188765.4532671327
546.0	195285.8800995718
547.0	201620.76056078763
548.0	207539.88735235488
549.0	212803.13290811534
550.0	217171.40169805445
551.0	220418.4860374101
552.0	222343.0276246178
553.0	222779.72864337318
554.0	221608.97319759478
555.0	218764.11471384525
556.0	214235.85156453247
557.0	208073.33686898206
558.0	200381.9275842633
559.0	191317.7465502824
560.0	181079.4818367906
561.0	169898.0554628145
562.0	158024.9384826525
563.0	145719.9592842406
564.0	133239.44325534272
565.0	120825.44009208583
566.0	108696.65298052736
567.0	97041.50029922943
568.0	86013.53693217898
569.0	75729.26043223254
570.0	66268.14637543567
571.0	57674.61210268099
572.0	49961.50783446743
573.0	43114.682079945145
574.0	37098.16205244595
575.0	31859.52273956798
576.0	27335.08069249795
577.0	23454.62947184987
578.0	20145.52211522843
579.0	17335.992397362555
580.0	14957.683590491091
581.0	12947.415973133615
582.0	11248.27007385384
583.0	9810.091389839845
584.0	8589.535630932136
585.0	7549.774093704703
586.0	6659.969820589542
587.0	5894.620070998342
588.0	5232.842347851501
589.0	4657.662266608877
590.0	4155.34375806563
591.0	3714.7866411717487
592.0	3327.0040874620463
593.0	2984.6830591744156
594.0	2681.824241444429
595.0	2413.4539031493496
596.0	2175.3980132697857
597.0	1964.1082995450809
598.0	1776.530296599371
599.0	1610.0043996216446
600.0	1462.1922124591497
601.0	1331.0218366159559
602.0	1214.6470463925584
603.0	1111.4164522382862
604.0	1019.8497315727724
605.0	938.6187971826862
606.0	866.532390352618
607.0	802.5230518365858
608.0	745.6357650721397
609.0	695.0178087858441
610.0	649.9095237633138
611.0	609.6358107598903
612.0	573.5982490762735
613.0	541.2677703337642
614.0	512.1778484476313
615.0	485.91818118024827
616.0	462.12884547255896
617.0	440.4949110659595
618.0	420.7414967543092
619.0	402.62925223362714
620.0	385.9502467336267
621.0	370.524243878993
622.0	356.19534078442433
623.0	342.82894834742456
624.0	330.3090890968598
625.0	318.5359887667004
626.0	307.423937951016
627.0	296.8994007043265
628.0	286.89934772322266
629.0	277.36979272443114
630.0	268.26451176869546
631.0	259.54392652186056
632.0	251.17413375309985
633.0	243.12606471010213
634.0	235.3747593528286
635.0	227.89874174717167
636.0	220.67948419855858
637.0	213.70094892864992
638.0	206.94919725522576
639.0	200.41205731885643
640.0	194.07884240567887
641.0	187.94011284156252
642.0	181.98747527915648
643.0	176.21341396728292
644.0	170.61114928465685
645.0	165.17451944059408
646.0	159.89788179851917
647.0	154.77603076836053
648.0	149.8041296462622
649.0	144.97765415939108
650.0	140.2923458049191
