Fit Curves X	Sum 'Fit Sum'
400.0	1901.952969524271
401.0	1872.2502550775528
402.0	1843.5060130985707
403.0	1815.6961522230185
404.0	1788.7969429505367
405.0	1762.7850626946533
406.0	1737.6376336197384
407.0	1713.3322540374243
408.0	1689.8470240677111
409.0	1667.1605662070203
410.0	1645.2520413868065
411.0	1624.1011610519038
412.0	1603.688195737427
413.0	1583.9939805766637
414.0	1564.9999181297442
415.0	1546.6879788838
416.0	1529.0406997395949
417.0	1512.0411807670243
418.0	1495.6730804822128
419.0	1479.92060987199
420.0	1464.768525367099
421.0	1450.2021209433576
422.0	1436.207219510015
423.0	1422.7701637265154
424.0	1409.8778063726213
425.0	1397.5175003822462
426.0	1385.677088638226
427.0	1374.3448936134755
428.0	1363.5097069334483
429.0	1353.1607789253965
430.0	1343.2878082115014
431.0	1333.8809313954664
432.0	1324.9307128854762
433.0	1316.4281348905172
434.0	1308.3645876217822
435.0	1300.731859726261
436.0	1293.522128975492
437.0	1286.7279532288553
438.0	1280.3422616876162
439.0	1274.358346453144
440.0	1268.7698544003192
441.0	1263.5707793750455
442.0	1258.7554547229447
443.0	1254.3185461547778
444.0	1250.2550449527866
445.0	1246.5602615210191
446.0	1243.229819281768
447.0	1240.2596489194593
448.0	1237.6459829726923
449.0	1235.38535077463
450.0	1233.4745737415465
451.0	1231.9107610090482
452.0	1230.6913054153083
453.0	1229.8138798305235
454.0	1229.2764338317893
455.0	1229.077190722609
456.0	1229.214644896355
457.0	1229.6875595431388
458.0	1230.4949646997557
459.0	1231.6361556425995
460.0	1233.1106916237327
461.0	1234.918394950612
462.0	1237.059350410328
463.0	1239.5339050395842
464.0	1242.3426682420836
465.0	1245.4865122553933
466.0	1248.9665729698609
467.0	1252.7842511026083
468.0	1256.9412137301779
469.0	1261.4393961839035
470.0	1266.2810043126697
471.0	1271.4685171182678
472.0	1277.0046897691782
473.0	1282.892556999214
474.0	1289.135436898097
475.0	1295.7369351017032
476.0	1302.7009493903815
477.0	1310.0316747044535
478.0	1317.7336085867166
479.0	1325.8115570625002
480.0	1334.2706409686004
481.0	1343.1163027431671
482.0	1352.3543136894361
483.0	1361.99078172699
484.0	1372.0321596450833
485.0	1382.4852538733958
486.0	1393.3572337864607
487.0	1404.6556415588798
488.0	1416.3884025893467
489.0	1428.5638365123873
490.0	1441.1906688176673
491.0	1454.2780430976118
492.0	1467.835533945025
493.0	1481.8731605233238
494.0	1496.4014008329038
495.0	1511.431206698078
496.0	1526.974019499906
497.0	1543.0417866810997
498.0	1559.6469790500166
499.0	1576.8026089115203
500.0	1594.5222490532171
501.0	1612.820052616218
502.0	1631.710773880117
503.0	1651.2097899923358
504.0	1671.3331236722674
505.0	1692.0974669208217
506.0	1713.5202057659126
507.0	1735.6194460741758
508.0	1758.4140404586742
509.0	1781.9236163115133
510.0	1806.1686049891034
511.0	1831.170272176209
512.0	1856.9507494528466
513.0	1883.5330670854541
514.0	1910.9411880605248
515.0	1939.2000433748672
516.0	1968.3355685918725
517.0	1998.3747416673668
518.0	2029.3456220417606
519.0	2061.2773909871116
520.0	2094.2003931881645
521.0	2128.1461795253113
522.0	2163.1475510144196
523.0	2199.2386038434497
524.0	2236.454775428358
525.0	2274.832891390718
526.0	2314.411213336435
527.0	2355.2294872884167
528.0	2397.3289925958
529.0	2440.752591107685
530.0	2485.5447763598986
531.0	2531.751722478385
532.0	2579.4213324518505
533.0	2628.603285368446
534.0	2679.3490821458595
535.0	2731.712089210233
536.0	2785.747579495934
537.0	2841.512770044297
538.0	2899.0668553739424
539.0	2958.4710356768487
540.0	3019.788538761821
541.0	3083.0846345188743
542.0	3148.426640512886
543.0	3215.883917131213
544.0	3285.5278505061106
545.0	3357.4318212073035
546.0	3431.6711564512457
547.0	3508.323063300047
548.0	3587.46654002339
549.0	3669.182262469801
550.0	3753.5524419386197
551.0	3840.66065066056
552.0	3930.591610582993
553.0	4023.430940717292
554.0	4119.26485784154
555.0	4218.179824866327
556.0	4320.262140669124
557.0	4425.597464691142
558.0	4534.270269079278
559.0	4646.363210657621
560.0	4761.956414544362
561.0	4881.126660812128
562.0	5003.946465248205
563.0	5130.483045038644
564.0	5260.797160115049
565.0	5394.941821012149
566.0	5532.960854443026
567.0	5674.887318471711
568.0	5820.741760224375
569.0	5970.530310615159
570.0	6124.242612665545
571.0	6281.849582771099
572.0	6443.301007828143
573.0	6608.522985592051
574.0	6777.415221116097
575.0	6949.848198727799
576.0	7125.660256838802
577.0	7304.654602031844
578.0	7486.59630936675
579.0	7671.209367687853
580.0	7858.173841821686
581.0	8047.123237760249
582.0	8237.64217195735
583.0	8429.264461316232
584.0	8621.471765758315
585.0	8813.692929709448
586.0	9005.304181519557
587.0	9195.630359667144
588.0	9383.947340355713
589.0	9569.485841423251
590.0	9751.436770926754
591.0	9928.958273903414
592.0	10101.184606324792
593.0	10267.236930043866
594.0	10426.236075825942
595.0	10577.317263065013
596.0	10719.646694817075
597.0	10852.439866312332
598.0	10974.981335852019
599.0	11086.645611402235
600.0	11186.918707403693
601.0	11275.419828045731
602.0	11351.922539679263
603.0	11416.374710630653
604.0	11468.916426031301
605.0	11509.895033012252
606.0	11539.876442278399
607.0	11559.651810118388
608.0	11570.238754667342
609.0	11572.876325964486
610.0	11569.013055139027
611.0	11560.287557742584
612.0	11548.501363094392
613.0	11535.583887776293
614.0	11523.549767738801
615.0	11514.449108109031
616.0	11510.31159781528
617.0	11513.085858787565
618.0	11524.575843665538
619.0	11546.376544182365
620.0	11579.81170338443
621.0	11625.876614650018
622.0	11685.189414522043
623.0	11757.954512307828
624.0	11843.941930627017
625.0	11942.486350859966
626.0	12052.509572889496
627.0	12172.56993321038
628.0	12300.942017156418
629.0	12435.729786135678
630.0	12575.016005456053
631.0	12717.050405851103
632.0	12860.47762835877
633.0	13004.601645640363
634.0	13149.670764226345
635.0	13297.133909972716
636.0	13449.737093420845
637.0	13611.147283741935
638.0	13784.449863291045
639.0	13968.450002919068
640.0	14150.999060843902
641.0	14301.839140460648
642.0	14375.084073717579
643.0	14332.74422611659
644.0	14176.031353924096
645.0	13947.706065865077
646.0	13702.078890412839
647.0	13478.682872006413
648.0	13297.289835941183
649.0	13164.347338586635
650.0	13079.788083504654
651.0	13040.977733032849
652.0	13044.407785714759
653.0	13086.242591909606
654.0	13162.428682475063
655.0	13268.698510372837
656.0	13400.56691753324
657.0	13553.24562314555
658.0	13721.18962906473
659.0	13896.689115705729
660.0	14066.762198395441
661.0	14208.712493938918
662.0	14288.91433523129
663.0	14273.368164217834
664.0	14148.002600916536
665.0	13926.263383182495
666.0	13633.670502565634
667.0	13290.174586266447
668.0	12905.691844783467
669.0	12483.876099279729
670.0	12026.424524987957
671.0	11535.483183607603
672.0	11014.517705894565
673.0	10468.386376714083
674.0	9903.080302801976
675.0	9325.35433419164
676.0	8742.345400179773
677.0	8161.218870392324
678.0	7588.860560070384
679.0	7031.622440628677
680.0	6495.12549749756
681.0	5984.120214758882
682.0	5502.402759853117
683.0	5052.782833404478
684.0	4637.097366588052
685.0	4256.262883242649
686.0	3910.3584687054226
687.0	3598.730929153374
688.0	3320.113863151072
689.0	3072.7529399322234
690.0	2854.530596995171
691.0	2663.0845274337207
692.0	2495.9156158754827
693.0	2350.4822982102887
694.0	2224.2795758611346
695.0	2114.9020407398298
696.0	2020.0912143078426
697.0	1937.7682468890794
698.0	1866.05355468795
699.0	1803.275301300926
700.0	1747.9687796170342
